,name,year,release_date,artists,id,duration_ms,explicit,valence,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
18667,Let It Happen,2015,2015-07-17,['Tame Impala'],2X485T9Z5Ly0xyaghN73ed,467587,0,0.5770000000000001,0.00462,0.602,0.8809999999999999,0.0266,1,0.111,-5.875,0,76,0.0443,125.012
18668,Guns and Ships,2015,2015-09-25,"['Leslie Odom Jr.', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",7m9XR7FquXLP1FewdAcNS9,127578,0,0.383,0.399,0.72,0.6659999999999999,0.0,7,0.0844,-6.914,1,72,0.328,138.03
18669,I Found,2015,2015-04-20,['Amber Run'],5zT5cMnMKoyruPj13TQXGx,273000,0,0.234,0.862,0.389,0.302,0.00567,7,0.104,-12.485,0,76,0.0438,124.956
18670,Planez,2015,2015-12-04,"['Jeremih', 'J. Cole']",08zJpaUQVi9FrKv2e32Bah,240320,1,0.416,0.7,0.688,0.556,1.87e-06,6,0.108,-7.737999999999999,1,72,0.264,129.336
18671,Trouble,2015,2015-12-18,['Cage The Elephant'],5n0CTysih20NYdT2S0Wpe8,225973,0,0.298,0.392,0.47,0.623,0.000453,0,0.0992,-5.655,1,73,0.0302,77.861
18672,Olivia,2015,2015-11-13,['One Direction'],5dONhl6aXFuN86UBdayF6W,177973,0,0.6759999999999999,0.0438,0.64,0.6809999999999999,0.0,6,0.166,-5.362,1,78,0.0334,118.062
18673,Jumpman,2015,2015-09-20,"['Drake', 'Future']",27GmP9AWRs744SzKcpJsTZ,205879,1,0.6559999999999999,0.0559,0.852,0.5529999999999999,0.0,1,0.332,-7.286,1,74,0.187,142.079
18674,C U Girl,2015,2015-02-15,['Steve Lacy'],6FBzhcfgGacfXF3AmtfEaX,129698,0,0.409,0.6629999999999999,0.414,0.473,0.0523,11,0.128,-8.911,0,72,0.116,100.0
18675,Right My Wrongs,2015,2015-10-02,['Bryson Tiller'],5rgrBsAFYMun6yhtnLKRPz,249320,0,0.29,0.345,0.5429999999999999,0.449,0.0,1,0.157,-8.065,1,72,0.0463,132.609
18676,Slow Motion,2015,2015-06-23,['Trey Songz'],4NYwy0R3NdvORX2B6OZXBT,197854,0,0.291,0.679,0.733,0.408,3.92e-05,7,0.11,-7.834,0,73,0.0388,94.947
18677,Sleeping on the Blacktop,2015,2015-06-02,['Colter Wall'],3Ozx6IrGdoQyAworJzvBDE,192480,0,0.478,0.8220000000000001,0.5670000000000001,0.311,0.23,2,0.11,-14.464,0,70,0.0455,83.11
18678,Sedona,2015,2015-03-17,['Houndmouth'],2kG5litgxXvx6ZRgwO1v7W,239880,0,0.249,0.0372,0.396,0.677,0.000137,3,0.112,-7.513,1,68,0.0354,135.17700000000002
18679,Non-Stop,2015,2015-09-25,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Renée Elise Goldsberry', 'Phillipa Soo', 'Christopher Jackson', 'Original Broadway Cast of Hamilton']",7qfoq1JFKBUEIvhqOHzuqX,385438,0,0.441,0.211,0.77,0.482,0.0,6,0.223,-9.529,1,72,0.351,91.994
18680,"Me, Myself & I",2015,2015-12-04,"['G-Eazy', 'Bebe Rexha']",40YcuQysJ0KlGQTeGUosTC,251467,1,0.382,0.0186,0.757,0.672,0.0,0,0.158,-6.524,0,76,0.0955,111.996
18681,"New Person, Same Old Mistakes",2015,2015-07-17,['Tame Impala'],52ojopYMUzeNcudsoz7O9D,363240,0,0.49,0.272,0.47,0.809,0.00671,8,0.0491,-6.74,1,73,0.0495,151.836
18682,Already,2015,2015-12-26,['Kodak Black'],3XoMtVDuIbmMQ9UKSShXti,241659,1,0.472,0.419,0.773,0.516,0.0,9,0.0753,-12.366,0,70,0.181,120.001
18683,Parachute,2015,2015-05-04,['Chris Stapleton'],5jROdl6MhcmP3O7h2sVgtw,253200,0,0.605,0.00967,0.642,0.762,5.720000000000002e-05,6,0.182,-7.411,1,70,0.0296,113.038
18684,Lay Me Down,2015,2015-11-06,"['Sam Smith', 'John Legend']",64GRDrL1efgXclrhVCeuA0,219536,0,0.326,0.919,0.468,0.19,0.0,4,0.107,-11.138,1,76,0.0373,125.319
18685,Complicated,2015,2015-08-09,"[""Olivia O'Brien""]",0jllH0usRFD4LJkJnGK9Lf,189000,0,0.0808,0.6940000000000001,0.657,0.355,0.000427,7,0.123,-12.044,1,77,0.0714,74.99
18686,Stitches,2015,2015-04-14,['Shawn Mendes'],5jsw9uXEGuKyJzs0boZ1bT,206880,0,0.755,0.0151,0.752,0.754,0.0,1,0.0486,-6.684,1,73,0.0615,149.789
18687,Right Hand Man,2015,2015-09-25,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",3nJYcY9yvKP8Oi2Ml8brXt,321697,1,0.383,0.177,0.68,0.413,0.0,8,0.205,-9.41,1,71,0.4920000000000001,158.576
18688,Lean On,2015,2015-11-27,"['Major Lazer', 'MØ', 'DJ Snake']",1Lim1Py7xBgbAkAys3AGAG,176561,0,0.274,0.00346,0.723,0.809,0.00123,7,0.565,-3.0810000000000004,0,72,0.0625,98.007
18689,Chandelier,2015,2015-05-04,['Sia'],2s1sdSqGcKxpPr5lCl7jAV,216120,0,0.5720000000000001,0.0197,0.399,0.787,6.07e-05,1,0.0685,-2.88,1,70,0.0499,117.089
18690,Earned It (Fifty Shades Of Grey),2015,2015-08-28,['The Weeknd'],4frLb7nWtsz2ymBE6k2GRP,277680,1,0.406,0.405,0.659,0.291,0.0,2,0.0771,-8.275,0,71,0.0348,119.829
18691,The Story of Tonight,2015,2015-09-25,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Okieriete Onaodowan', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",0NJWhm3hUwIZSy5s0TGJ8q,91981,0,0.625,0.835,0.494,0.237,0.0,4,0.648,-10.579,1,71,0.0517,95.219
18692,Paralyzed,2015,2015-03-31,['NF'],5DHQKZCOZhGNTbYBCekWx0,270453,0,0.0397,0.214,0.51,0.643,3.22e-06,0,0.101,-6.602,1,75,0.0485,130.08100000000002
18693,Bitch Better Have My Money,2015,2015-03-26,['Rihanna'],0NTMtAO2BV4tnGvw9EgBVq,219306,1,0.395,0.0509,0.7809999999999999,0.728,1.94e-06,1,0.257,-4.981,1,76,0.0621,102.99
18694,Dear Theodosia,2015,2015-09-25,"['Leslie Odom Jr.', 'Lin-Manuel Miranda']",2sEq2rC3ynYsT49x7utWnd,184004,0,0.274,0.907,0.598,0.221,4.19e-05,9,0.0723,-10.484000000000002,1,71,0.0303,106.771
18695,I'm Comin' Over,2015,2015-11-13,['Chris Young'],0H04yVa3DJxoXbLBpAb7iV,197280,0,0.376,0.0282,0.575,0.845,0.0,10,0.0814,-3.838,1,69,0.035,127.997
18696,King Kunta,2015,2015-03-16,['Kendrick Lamar'],0N3W5peJUQtI4eyR6GJT5O,234693,1,0.489,0.00589,0.884,0.657,0.0,6,0.154,-4.569,0,74,0.0977,107.059
18697,What Do You Mean?,2015,2015-11-13,['Justin Bieber'],4B0JvthVoAAuygILe3n4Bs,205680,0,0.7929999999999999,0.59,0.845,0.5670000000000001,0.0014199999999999,5,0.0811,-8.118,0,78,0.0956,125.02
18698,The Room Where It Happens,2015,2015-09-25,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Daveed Diggs', 'Okieriete Onaodowan', 'Original Broadway Cast of Hamilton']",2TK2KSrzXD6W01qjXVjNGh,318215,0,0.511,0.271,0.638,0.49,0.0,4,0.664,-9.382,0,71,0.426,173.55200000000005
18699,Farmer Refuted,2015,2015-09-25,"['Thayne Jasperson', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",2G9lekfCh83S0lt2yfffBz,112742,0,0.5770000000000001,0.684,0.795,0.409,0.0,9,0.0548,-8.334,0,71,0.3720000000000001,77.87899999999998
18700,Gasoline,2015,2015-08-28,['Halsey'],2IO7yf562c1zLzpanal1DT,199593,1,0.319,0.223,0.731,0.58,0.0,10,0.129,-7.3279999999999985,0,73,0.0399,119.997
18701,Yorktown (The World Turned Upside Down),2015,2015-09-25,['Original Broadway Cast of Hamilton'],733tju3KUeatsbjcTRQ04i,242588,1,0.51,0.297,0.76,0.883,0.0,9,0.727,-5.397,0,71,0.25,98.012
18702,Rise Up,2015,2015-08-28,['Andra Day'],0tV8pOpiNsKqUys0ilUcXz,253342,0,0.174,0.805,0.398,0.316,0.0,1,0.295,-7.0310000000000015,1,76,0.0368,118.582
18703,Acquainted,2015,2015-08-28,['The Weeknd'],7uJH0YdSZL6psjxI6Xy08b,348853,1,0.254,0.482,0.3720000000000001,0.478,0.0,7,0.0844,-9.835,0,72,0.0503,101.102
18704,Lost Boy,2015,2015-08-21,['Ruth B.'],4h0zU3O9R5xzuTmNO7dNDU,275280,0,0.348,0.965,0.71,0.0565,0.0,7,0.0889,-15.099,1,76,0.0534,123.994
18705,A Winter's Ball,2015,2015-09-25,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",2yBMVrq96wb9OHbMdBs0lF,69901,0,0.688,0.41,0.8540000000000001,0.327,0.0,8,0.0889,-10.834,1,71,0.507,131.352
18706,Immortals,2015,2015-01-20,['Fall Out Boy'],3Te8uLyit6X3ncNW8Fp3K2,189387,0,0.475,0.00131,0.616,0.868,1.54e-06,2,0.6709999999999999,-3.606,1,74,0.0699,108.016
18707,Renegades,2015,2015-06-30,['X Ambassadors'],0fYVliAYKHuPmECRs1pbRf,195200,0,0.528,0.0144,0.526,0.862,0.0597,2,0.229,-6.002999999999999,1,76,0.0905,90.052
18708,Impatient,2015,2015-12-04,"['Jeremih', 'Ty Dolla $ign']",3WjyiSbfR74pjWXQ3IaFKJ,245520,1,0.443,0.106,0.6970000000000001,0.4,0.0,5,0.102,-5.888,0,72,0.0511,179.007
18709,Do I Make You Wanna,2015,2015-06-02,['Billy Currington'],3I7krC8kr0gFR7P6vInR1I,234307,0,0.521,0.106,0.5529999999999999,0.747,0.0,9,0.154,-5.432,1,68,0.0279,90.012
18710,R.I.C.O. (feat. Drake),2015,2015-06-29,"['Meek Mill', 'Drake']",0Y0TOsE1q11qgbi7c5WZsG,197133,1,0.386,0.317,0.727,0.599,0.0,1,0.219,-6.941,1,71,0.327,167.90900000000005
18711,Roses,2015,2015-06-16,"['The Chainsmokers', 'ROZES']",3vv9phIu6Y1vX3jcqaGz5Z,226739,0,0.343,0.0435,0.713,0.802,0.00377,4,0.309,-7.055,1,74,0.0561,100.001
18712,Burn,2015,2015-09-25,['Phillipa Soo'],4B3qvzOMzLQXLeYgPsG3KA,225241,0,0.255,0.752,0.5820000000000001,0.428,0.0,2,0.102,-9.13,1,70,0.0516,99.608
18713,Tear in My Heart,2015,2015-05-15,['Twenty One Pilots'],3bnVBN67NBEzedqQuWrpP4,188493,0,0.447,0.0189,0.655,0.632,0.0,2,0.0722,-4.802,1,73,0.0489,120.113
18714,Homegrown,2015,2015-04-28,['Zac Brown Band'],1qwnPVOIJjAFfCc40Etb1D,205000,0,0.956,0.0244,0.711,0.8009999999999999,0.000113,6,0.135,-3.742,1,69,0.029,105.006
18715,No Type,2015,2015-01-06,['Rae Sremmurd'],4scpF6J5uMBvoh6sFB7EL1,200080,1,0.239,0.0158,0.8909999999999999,0.486,3.78e-06,6,0.0925,-7.803,1,73,0.159,125.01
18716,Better When I'm Dancin',2015,2015-10-14,['Meghan Trainor'],5k5fWendNngd89O8JKoE8L,176267,0,0.873,0.53,0.7559999999999999,0.789,0.000711,2,0.157,-7.002000000000002,1,76,0.0324,127.987
18717,7AM,2015,2015-12-18,['Lil Uzi Vert'],4v1P7JCjehbg5TmLQo2mFy,219712,1,0.301,0.275,0.638,0.526,0.0,7,0.462,-8.401,1,69,0.131,139.054
18718,Jungle,2015,2015-02-12,['Drake'],7JXZq0JgG2zTrSOAgY8VMC,320400,1,0.378,0.62,0.6970000000000001,0.235,0.000144,7,0.107,-8.651,1,71,0.0534,99.947
18719,Mad Hatter,2015,2015-08-14,['Melanie Martinez'],5gWtkdgdyt5bZt9i6n3Kqd,201520,0,0.5770000000000001,0.0161,0.568,0.6920000000000001,0.0,8,0.148,-4.513,1,73,0.0589,92.023
18720,Molly (feat. Brendon Urie of Panic at the Disco),2015,2015-07-31,"['Lil Dicky', 'Brendon Urie']",7MkysLvt3L8UFji2PceoFU,244340,1,0.397,0.203,0.8290000000000001,0.514,0.000157,7,0.115,-6.694,1,69,0.037,114.955
18721,The Story of Tonight - Reprise,2015,2015-09-25,"['Anthony Ramos', 'Okieriete Onaodowan', 'Daveed Diggs', 'Lin-Manuel Miranda', 'Leslie Odom Jr.']",1CzeuSrm71wHP9qsjg7p3F,115880,1,0.594,0.68,0.7240000000000001,0.305,0.0,5,0.128,-12.763,0,70,0.257,81.874
18722,Humble And Kind,2015,2015-01-01,['Tim McGraw'],4Pn0JlCUusD2QHjADuOzuV,259267,0,0.1369999999999999,0.679,0.355,0.48,2.28e-06,11,0.12,-7.31,1,68,0.0282,100.956
18723,What'd I Miss,2015,2015-09-25,"['Daveed Diggs', 'Leslie Odom Jr.', 'Okieriete Onaodowan', 'Original Broadway Cast of Hamilton']",2W9u3whoCkQYOUbmnSrHi1,236701,0,0.319,0.1689999999999999,0.539,0.5770000000000001,0.0,7,0.14,-7.763,1,70,0.386,177.787
